1	1	1
3	1	1
5	1	1
7	0.996	0.99474
9	0.92	0.924533
11	0.688	0.719745
13	0.431	0.44934
15	0.205	0.228709
17	0.103	0.0981203
19	0.035	0.0366168
21	0.007	0.0121948
23	0.003	0.00369771
25	0.002	0.00103685
27	0	0.000272156
29	0	6.75194e-05
