0.0	4.77186e-05	5.83344e-05	81.8018
-0.1	3.5136e-05	5.91189e-05	59.4327
0.1	4.01516e-05	7.29811e-05	55.0164
-0.2	1.95746e-05	6.13312e-05	31.9162
0.2	3.15917e-05	5.47189e-05	57.7345
-0.3	3.70534e-05	7.33301e-05	50.5296
0.3	4.94007e-05	6.48066e-05	76.2278
-0.4	3.42971e-05	4.96456e-05	69.084
0.4	3.49737e-05	4.88067e-05	71.6577
-0.5	5.43197e-05	4.89067e-05	111.068
0.5	3.42573e-05	7.77434e-05	44.0646
-0.6	2.6773e-05	5.04256e-05	53.0941
0.6	3.10075e-05	0.000135258	22.9247
-0.7	4.08351e-05	2.31578e-05	176.334
0.7	3.56159e-05	0.000100388	35.4783
-0.8	0.00010871	2.93322e-05	370.616
0.8	3.05201e-05	0.000126247	24.175
-0.9	0.000148824	4.87855e-05	305.059
0.9	4.43729e-05	9.68923e-05	45.7961
1.0	8.44178e-05	0.000137933	61.2019
