1	1	+-	0	1	+- 
2	1	+-	0	1	+- 
3	0.9355	+-	0.00246869	0.937193	+- 
4	0.6361	+-	0.00607627	0.635221	+- 
5	0.3245	+-	0.00460012	0.32441	+- 
6	0.1299	+-	0.00344303	0.136318	+- 
7	0.0484	+-	0.00223706	0.0500017	+- 
8	0.0176	+-	0.00146211	0.0166182	+- 
9	0.0035	+-	0.000453382	0.00512716	+- 
10	0.0016	+-	0.000520683	0.00149283	+- 
11	0.0005	+-	0.000223607	0.000414976	+- 
12	0.0001	+-	0.0001	0.00011107	+- 
13	0	+-	0	2.88068e-05	+- 
14	0	+-	0	7.27509e-06	+- 
15	0	+-	0	1.79596e-06	+- 
16	0	+-	0	4.34709e-07	+- 
17	0	+-	0	1.03426e-07	+- 
18	0	+-	0	2.42367e-08	+- 
19	0	+-	0	5.60367e-09	+- 
20	0	+-	0	1.28011e-09	+- 
