1	1	+-	0	1	+- 
3	1	+-	0	1	+- 
5	1	+-	0	1	+- 
7	0.9962	+-	0.000512076	0.997279	+- 
9	0.9472	+-	0.00208593	0.951976	+- 
11	0.7834	+-	0.00325986	0.792799	+- 
13	0.5365	+-	0.00518384	0.545055	+- 
15	0.3085	+-	0.00444535	0.309996	+- 
17	0.1362	+-	0.00146667	0.149587	+- 
19	0.0604	+-	0.0032187	0.0629686	+- 
21	0.0217	+-	0.00109595	0.0236835	+- 
23	0.0076	+-	0.000909212	0.00811382	+- 
25	0.0023	+-	0.000472582	0.00257079	+- 
27	0.0008	+-	0.000133333	0.000762418	+- 
29	0.0002	+-	0.000133333	0.000213681	+- 
