1	1	+-	0	1	+- 
2	1	+-	0	1	+- 
3	0.9919	+-	0.000822598	0.993695	+- 
4	0.9238	+-	0.00194251	0.925663	+- 
5	0.7678	+-	0.00390953	0.768989	+- 
6	0.5603	+-	0.00403884	0.568829	+- 
7	0.371	+-	0.0052936	0.381288	+- 
8	0.2369	+-	0.00308563	0.236007	+- 
9	0.1293	+-	0.00396106	0.137019	+- 
10	0.0721	+-	0.00290765	0.0755242	+- 
11	0.0382	+-	0.00142829	0.0398905	+- 
12	0.0203	+-	0.00182605	0.0203346	+- 
13	0.0102	+-	0.00126315	0.0100601	+- 
14	0.004	+-	0.000774597	0.00485154	+- 
15	0.0018	+-	0.00038873	0.00228874	+- 
16	0.0009	+-	0.000233333	0.00105924	+- 
17	0.0004	+-	0.000266667	0.000482046	+- 
18	0.0003	+-	0.000152753	0.000216136	+- 
19	0	+-	0	9.5635e-05	+- 
20	0	+-	0	4.18174e-05	+- 
