1	1	+-	0	1	+- 
2	1	+-	0	1	+- 
3	0.9778	+-	0.000997775	0.979373	+- 
4	0.8283	+-	0.00309139	0.830074	+- 
5	0.5797	+-	0.0046644	0.587977	+- 
6	0.3457	+-	0.00588793	0.358793	+- 
7	0.1904	+-	0.00354087	0.195298	+- 
8	0.0896	+-	0.00280159	0.0974056	+- 
9	0.0427	+-	0.00168028	0.045385	+- 
10	0.0195	+-	0.00114746	0.0200329	+- 
11	0.0081	+-	0.0009	0.00846293	+- 
12	0.0032	+-	0.000628932	0.00344805	+- 
13	0.0013	+-	0.0003	0.00136284	+- 
14	0.0003	+-	0.000152753	0.000524956	+- 
15	0	+-	0	0.000197778	+- 
16	0.0001	+-	0.0001	7.30936e-05	+- 
17	0.0001	+-	0.0001	2.6562e-05	+- 
18	0	+-	0	9.50999e-06	+- 
19	0	+-	0	3.36008e-06	+- 
20	0	+-	0	1.17321e-06	+- 
